No,类型,信号,位置提示,游戏坐标,挑战起点,起点差,解法原文,截图
819,赛跑·树桩,text,鼓大河,"1544.4, -1837.6","1527.4, -1887.4",是,The seed platform is on the skull. Race to the ring.,Korok819.jpg
820,搬石头,text,托洛鼓悬崖,"1950.0, -1832.4",,,Use a bomb on the breakable wall then lift the rock.,Korok820.jpg
821,射箭·射靶,text,贝莱谷,"2275.0, -720.0",,,Find the seed platform up hill. Race in time to the target to reveal the Korok.,Korok821.jpg
822,垒石·石圈,text,盖洛湖,"2425.6, -1738.0",,,Throw one of the rocks into the rock circle.,Korok822.jpg
823,磁铁·方块拼图,text,贝弗岛,"2705.0, -1747.6",,,"Complete the Magnesis cube puzzle. The metal cube is located on the eastern edge of the canyon floor, the template on the northeast side of the pond, and the puzzle is found on the island center.",Korok823.jpg
824,射箭·射靶,text,北塔邦挞雪原,"-1528.0, -3479.0",,,Destroy the acorn in the hollow of the log.,Korok824.jpg
825,磁铁·方块拼图,text,劳鲁村遗迹,"582.0, -1105.0",,,Solve the block puzzle.,Korok825.jpg
826,搬石头,text,海拉鲁森林公园遗迹,"179.0, -938.4",,,Lift the stone on top of the fountain.,Korok826.jpg
827,射气球,text,艾尔姆丘陵,"-424.4, -1733.6",,,Stand on the stump with the pinwheel and shoot the 3 targets that are circling the nearby trees.,Korok827.jpg
828,搬石头,text,艾尔姆丘陵,"-333.6, -1745.0",,,Lift the rock in the center of the dead trees.,Korok828.jpg
829,射箭·射靶,text,沃尔纳高地,"-41.0, -2987.0","234.3, -2963.1",是,Shoot the acorn inside the hollow tree log.,Korok829.jpg
830,跳水环,text,海布拉湖,"-2994.4, -2168.0",,,Dive/jump/fall into the circle of water lilies.,Korok830.jpg
831,搬石头,text,莫里桥,"-3125.0, -1368.4",,,Under a rock behind some destructible boulders.,Korok831.jpg
832,搬石头,text,毅力崖 ,"2664.0, -3472.0",,,Pick up the rock on the northernmost pillar and move it to the upper edge of the pillar so it matches the rock placement on the other pillars.,Korok832.jpg
833,搬石头,text,南塔邦挞雪原,"-1764.4, -2350.0",,,Under a rock under a pile of leaves.,Korok833.jpg
834,推石入坑,text,鼓大河,"1684.4, -1720.4",,,Roll a boulder into the lava pond below.,Korok834.jpg
835,磁铁·方块拼图,text,幽芬湖,"2478.0, -1392.0",,,Complete the puzzle using Magnesis.,Korok835.jpg
836,垒石·石圈,text,密兹达湖,"2755.0, -1368.4",,,Carry a rock through the shallow water to the rock circle and throw it in.,Korok836.jpg
837,追花,text,库姆的秘泉,"-4193.6, -2681.0","-4227.9, -3135.1",是,"Follow the flower trail. It starts west-northwest of Sturnida Secret Hot Spring, halfway up the cliff. The trail leads south along the cliff face.",Korok837.jpg
838,追花,text,比隆雪原,"-4228.0, -3135.0","-4193.4, -2681.0",是,The flower trail starts a short distance southeast and down the cliff. Follow it up the cliff.,Korok838.jpg
839,精灵光点,text,比隆雪原,"-3841.6, -3346.0",,,Climb the dead tree and interact with the fairy lights.,Korok839.jpg
840,精灵光点,text,明弗拉的秘泉,"-3410.4, -3508.0",,,Examine the fairy lights on the top of the dead tree. Cold Resistance Level 2 recommended,Korok840.jpg
841,搬石头,text,比隆雪原,"-3739.0, -2961.6",,,Under a rock.,Korok841.jpg
842,垒石·石圈,text,丝蕾米的小屋,"-2851.6, -3489.6",,,Complete the rock pattern using a nearby rock.,Korok842.jpg
843,搬石头,text,祭奠场遗迹,"-239.0, -112.4",,,Climb up the tallest pillar in the northeast section and pick up the rock at the top.,Korok843.jpg
844,跳水环,text,欧荷利桥,"-607.6, -675.0","-679.4, -858.6",是,Dive into the ring of flowers in the water next to the bridge.,Korok844.jpg
845,树叶下,text,海布拉山东岳,"-2604.4, -3238.0",,,Climb to the top of the tree and examine the swirling leaves.,Korok845.jpg
846,射气球,text,茨茨齐齐雪原,"-2257.0, -3085.0",,,Stand near the pinwheel and shoot the acorn. Cold Resistance Level 2 recommended,Korok846.jpg
847,精灵光点,text,茨茨齐齐雪原,"-2492.4, -3028.0",,,Thaw the ice block and examine the fairy lights. Cold Resistance Level 2 recommended,Korok847.jpg
848,射气球,text,夏利巴山,"-2987.6, -2693.6",,,Shoot the balloon that hangs high up under a cliff.,Korok848.jpg
849,搬石头,text,海布拉河,"-2938.4, -2410.4",,,Pick up a rock.,Korok849.jpg
850,树叶下,text,海布拉河,"-2735.0, -2584.0",,,Thaw the ice block and examine the glittering leaves.,Korok850.jpg
851,搬石头,text,海布拉河,"-2641.6, -2362.4",,,Under a rock.,Korok851.jpg
852,树叶下,text,海布拉湖,"-2790.4, -1943.0",,,Examine the glittering leaves at the top of the dead tree.,Korok852.jpg
853,精灵光点,text,塔玛湖,"-2912.0, -1635.6",,,Examine the fairy lights at the top of the tree.,Korok853.jpg
854,追花,actor,库库甲谷,"-2338.0, -1728.0","-2376.8, -1790.9",是,Follow the trail of flowers that starts next to the road to the north.,Korok854.jpg
855,搬石头,text,塔邦挞村遗迹,"-2385.6, -2128.4",,,Under a rock.,Korok855.jpg
856,推石入坑,text,柯库皮雪原,"-2295.6, -2287.0",,,Snow boulders can be carried. Put one in the hole below.,Korok856.jpg
857,射箭·射靶,text,南塔邦挞雪原,"-2022.0, -2464.0","-1731.4, -2210.2",是,Destroy the acorn in the hollow in the tree log.,Korok857.jpg
858,搬石头,text,彭多的小屋,"-2019.6, -1931.6",,,Under a rock.,Korok858.jpg
859,精灵光点,text,南塔邦挞雪原,"-1791.0, -2746.0",,,Catch the fairy lights.,Korok859.jpg
860,搬石头,text,希麦加米河,"-1820.0, 1533.0",,,Pick up the rock.,Korok860.jpg
861,垒石·石圈,text,鲁奇玛高地,"-4528.0, 1423.6",,,Use the nearby rock to complete the rock circle.,Korok861.jpg
862,搬石头,text,山麓驿站,"2652.4, -973.6",,,Lift the rock.,Korok862.jpg
863,搬石头,text,达鲁波池塘,"2355.6, -2064.4",,,Lift the rock.,Korok863.jpg
864,搬石头,text,贝弗岛,"2664.0, -2064.4",,,"Break the wall, then lift the stone.",Korok864.jpg
865,射气球,text,中鼓湖,"2270.4, -1823.0",,,"Find the pinwheel inside the skull, look outside the eye to find the target balloon. Shoot it with an arrow to reveal the Korok.",Korok865.jpg
866,垒石·石圈,text,丘萨茨湖,"2179.6, -1281.0",,,Complete the stone circle.,Korok866.jpg
867,搬石头,text,中鼓湖,"2265.6, -1562.0",,,"Break the wall, lift the stone.",Korok867.jpg
868,搬石头,text,Faron Woods (Breath of the Wild),"407.6, 3051.0",,,"Climb the pillar, pick up the rock.",Korok868.jpg
869,垒石·石圈,text,达鲁马湖,"2060.4, -2756.4",,,Use the rock above to complete the stone circle below.,Korok869.jpg
870,搬石头,text,达鲁马湖,"2203.0, -3001.0",,,Lift the rock to reveal the Korok.,Korok870.jpg
871,搬石头,text,Goron City (Breath of the Wild),"1655.0, -2563.0",,,Lift the rock that's located under the rock sculpture's armpit.,Korok871.jpg
872,精灵光点,text,鼓隆桥,"1593.6, -2477.0",,,"From the city entrance, look up and to the left. Climb into the mouth of the southwest goron in the rock structure, and examine the fairy lights.",Korok872.jpg
873,精灵光点,text,鼓洛斯湖,"1865.0, -2463.0",,,Examine the fairy lights on top of the stone ribcage.,Korok873.jpg
874,射箭·射靶,text,海拉鲁森林公园遗迹,"324.4, -959.6",,,Shoot the acorn in the hole in the tree.,Korok874.jpg
875,搬石头,text,鲁奇玛高地,"-4552.4, 1352.4",,,Pick up the rock.,Korok875.jpg
876,推石入坑,text,巴尔麦平原,"150.0, 2982.4",,,Roll the boulder to the hole.,Korok876.jpg
877,射箭·射靶,text,Hyrule Castle (Breath of the Wild),"-272.0, -607.6","-237.5, -632.5",是,Shoot the acorn hidden in the alcove under the bridge to the gate to Hyrule Castle.,Korok877.jpg
878,赛跑·树桩,text,艾美拉尔台地,"-4210.0, 1133.6","-4388.9, 1218.4",是,Race to the finish from the platform to the west-southwest. Use the updraft and your paraglider to gain height quickly.,Korok878.jpg
879,射箭·射靶,text,观察室,"-256.4, -739.6","-213.8, -743.1",是,Shoot the stone Coat of Arms to reveal the Korok.,Korok879.jpg
880,搬石头,text,齐洛利森琳,"1008.4, -1563.0",,,Climb the platform and lift the rock.,Korok880.jpg
881,射箭·射靶,text,海拉鲁军事演习场遗迹,"869.0, -1361.6",,,Shoot the acorn in the hole in the tree.,Korok881.jpg
882,搬石头,text,麦贝镇遗迹,"23.0, 148.4",,,Lift the rock up.,Korok882.jpg
883,精灵光点,text,玛丽塔山丘,"-1229.6, -1576.0",,,Interact with the fairy lights.,Korok883.jpg
884,射箭·射靶,text,玛丽塔山丘,"-1438.0, -1663.6",,,Shoot the acorn in the tree trunk.,Korok884.jpg
885,射箭·射靶,text,阿尔达台地,"-820.4, -1927.0","-902.8, -1587.6",是,Shoot the acorn in the log.,Korok885.jpg
886,射箭·射靶,text,拉明平原,"-1023.6, -2078.4",,,Shoot the acorn in the hollow log.,Korok886.jpg
887,搬石头,text,船坞,"-269.6, -1139.0",,,"Bomb the breakable wall high up on the cliffside, then lift the stone.",Korok887.jpg
888,搬石头,text,东坑道,"-68.0, -978.0",,,Lift the stone.,Korok888.jpg
889,精灵光点,text,东坑道,"-99.6, -977.0",,,"Enter the East Passage. Just before the room with the Talus, you find blocks of ice along a wall. Melt the largest ice block, then examine the fairy lights.",Korok889.jpg
890,搬石头,text,训练所,"-270.4, -874.4",,,"This ledge is just below the last curve in the path before it enters the castle. Bomb the breakable wall, then lift the stone.",Korok890.jpg
891,射箭·射靶,actor,三殿,"-350.0, -829.0","-214.9, -751.0",是,Climb to the top of the spire above the First Gatehouse.,Korok891.jpg
892,搬石头,text,马克雅林高地,"-3676.0, 700.0",,,Lift the rock.,Korok892.jpg
893,垒石·石圈,text,北海拉鲁平原,"-1015.0, -1064.4",,,Throw a rock into the ring of stones in the water.,Korok893.jpg
894,搬石头,text,海拉鲁城堡护城河,"-132.0, -1379.0",,,Lift the rock.,Korok894.jpg
895,磁铁·方块拼图,text,海拉鲁城堡护城河,"-671.6, -934.0",,,Solve the block puzzle. Half of it is underwater nearby.,Korok895.jpg
896,搬石头,text,二殿,"-163.6, -784.4",,,"On a rock ledge just above the water, bomb the breakable wall, then lift the stone.",Korok896.jpg
897,搬石头,text,莱波纳桥,"797.6, 24.0",,,Lift the rock under the bridge.,Korok897.jpg
898,食物祭品,text,苹果森林,"624.0, -191.6",,,Pick apples on the third tree to make it match the other two.,Korok898.jpg
899,射箭·射靶,text,马兹拉桥,"503.0, -494.4","690.6, -614.8",是,Shoot the acorn.,Korok899.jpg
900,射气球,text,玛科莱湖,"683.6, -2756.4",,,Stand near the pinwheel and shoot the balloon.,Korok900.jpg
